UniProtAC;Localization;CNN;;;;;;;;;;;;;;;;;;;;Fully Connected;;;;;;;;;;;;;;;Final;;;;;;;;;
;;Apical1;Apical2;Apical3;Apical4;Apical5;Basolateral1;Basolateral2;Basolateral3;Basolateral4;Basolateral5;Plasma1;Plasma2;Plasma3;Plasma4;Plasma5;Other1;Other2;Other3;Other4;Other5;Apical1;Apical2;Apical3;Apical4;Apical5;Basolateral1;Basolateral2;Basolateral3;Basolateral4;Basolateral5;Other1;Other2;Other3;Other4;Other5;Binary1;Binary2;Binary3;Binary4;Binary5;Ternary1;Ternary2;Ternary3;Ternary4;Ternary5
F7A2F7;Other;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train
F7A2X5;Apical;-;train;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;train;train;train;validation;-;-;train;-;train;-;validation;validation;validation;-;train;train;train;-;train;train;-;-;-;validation
F7A3K4;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7A5U4;Plasma;-;-;-;-;-;validation;-;-;train;-;-;-;-;train;-;-;-;-;train;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7A7G8;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-
F7A7M2;Other;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;train;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7A817;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7A8P7;Other;-;-;-;-;-;-;-;train;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7A9M8;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-
F7ABD1;Plasma;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-
F7ACP8;Apical;-;-;-;train;train;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;train;-;train;validation;train;-;-;-;-;train;-;-;train;train;train;-;-;validation;-;train;train;validation;train
F7ADF6;Plasma;-;-;-;-;train;-;-;-;train;-;-;-;-;-;train;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-
F7AFB0;Other;-;-;-;-;validation;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7AG73;Other;-;train;-;-;-;-;-;train;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7AGF4;Plasma;-;train;train;-;-;-;-;-;-;-;train;train;-;-;train;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7AH22;Apical;-;-;-;-;validation;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;train;train;-;validation;-;-;-;train;train;train;train;-;-;train;-;validation;-;-;train;-;-;-;-;validation;-;train
F7AI13;Other;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;train
F7AI32;Basolateral;-;-;-;-;-;-;train;train;-;train;-;-;train;-;-;train;train;train;-;train;-;-;train;-;validation;validation;-;-;train;train;-;validation;train;-;train;train;train;validation;validation;train;-;-;validation;train;validation
F7AIN6;Basolateral;-;-;-;-;-;train;validation;train;-;-;validation;-;-;-;-;-;train;train;train;-;-;train;-;train;-;validation;train;train;-;-;-;train;train;train;-;train;validation;validation;-;train;-;train;train;train;validation
F7AKF8;Plasma;-;-;-;-;-;train;-;-;-;train;-;-;-;-;train;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;validation;-;train;-
F7AKP1;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7AKS1;Apical;-;train;train;-;train;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;train;-;train;train;train;train;train;-;-;-;-;train;-;-;train;-;-;train;train;-;-;train;train;train
F7ALK9;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;train;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-
F7AN96;Basolateral;-;-;-;train;-;train;validation;validation;train;train;-;-;train;train;-;-;train;-;train;-;-;train;-;train;-;validation;train;train;train;validation;-;-;validation;-;train;train;train;train;-;train;train;train;train;validation;train
F7AP50;Other;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train
F7APY6;Apical;-;-;validation;-;-;-;train;-;-;train;-;-;-;-;-;-;-;-;-;-;train;train;-;-;-;train;-;train;-;-;-;-;-;-;validation;-;train;-;train;-;-;train;validation;-;validation
F7AQT6;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7AT08;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7ATP9;Plasma;-;-;train;validation;-;-;-;-;-;-;-;-;train;train;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-
F7AUV5;Other;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7AV40;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7AV98;Other;train;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7AVP5;Apical;-;-;train;train;train;-;-;-;-;validation;-;-;-;-;-;train;-;-;-;train;-;train;-;train;train;train;-;-;-;-;-;train;-;train;-;train;train;train;validation;train;-;train;validation;train;train
F7AWD2;Plasma;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;train;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;train;-;train;-;-;-;-;-;-;-;-;train;-;-;-
F7AXT3;Other;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train
F7AXZ8;Plasma;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-
F7B020;Other;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7B047;Plasma;-;train;-;-;-;-;-;-;train;-;train;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;train;-;train;-;-;-;-;-;-;-;-;-;train;-;-
F7B2A9;Plasma;-;-;-;-;-;-;-;validation;-;-;-;-;train;-;-;-;-;-;train;train;-;-;-;-;-;-;-;-;-;-;-;-;train;train;-;-;-;-;-;-;-;-;-;-;-
F7B6C1;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7B6P1;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-
F7B6Q3;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-
F7B7D0;Plasma;-;-;-;train;-;-;-;-;-;-;train;train;train;-;train;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-
F7B806;Other;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-
F7B8U3;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-
F7B9I1;Plasma;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-
F7BA85;Plasma;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;train;-;-;-;validation;-;-;-;validation;-;train;-;-;-;-;-;-;-;-;-;-
F7BAA2;Other;-;-;train;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-
F7BBC4;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7BCC8;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7BEV5;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-
F7BFK7;Plasma;-;train;-;-;-;-;-;-;-;-;train;-;-;validation;train;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-
F7BFP5;Other;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7BGD7;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7BI80;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;validation;train
F7BJM8;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-
F7BJX2;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-
F7BK83;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7BL00;Other;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-
F7BLK5;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;train;-;-
F7BMK4;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-
F7BPX2;Other;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;train;-;-
F7BPZ7;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7BRU6;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7BSM6;Apical;-;validation;train;-;-;-;validation;train;-;-;-;-;-;-;-;-;-;-;-;-;train;-;train;train;-;-;train;-;-;-;-;-;-;train;-;-;train;-;train;train;train;train;train;-;train
F7BTZ8;Plasma;-;-;-;-;-;train;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7BXB1;Other;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7BXY7;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;validation;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-
F7BZY4;Basolateral;-;validation;train;train;-;-;train;train;-;train;-;-;-;validation;-;-;-;-;-;train;-;-;train;-;-;train;train;-;validation;train;-;validation;train;-;train;train;train;train;train;train;train;train;train;train;train
F7C0A9;Apical;train;train;-;validation;train;-;-;-;-;-;-;train;-;-;train;-;-;train;train;-;validation;train;train;-;-;-;-;validation;-;validation;-;-;-;train;-;-;-;-;-;train;train;train;-;-;validation
F7C120;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-
F7C1E6;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7C1U3;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;train;train;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7C271;Apical;train;train;train;-;train;-;-;-;-;-;-;train;-;train;-;-;-;-;-;-;train;-;train;-;train;-;train;-;validation;train;-;-;-;train;-;validation;train;train;train;-;-;validation;train;-;-
F7C2T8;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7C318;Other;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-
F7C425;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7C480;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-
F7C4H7;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7C4Y3;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-
F7C586;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-
F7C8L8;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7C8W6;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7CA15;Plasma;-;-;-;-;-;train;-;-;-;-;train;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-
F7CAT8;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7CBF8;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;validation
F7CBG7;Basolateral;-;train;train;train;-;train;validation;train;train;train;train;-;validation;-;-;-;-;-;-;train;train;-;-;-;-;validation;train;train;-;train;train;-;-;-;-;train;-;train;train;train;validation;train;-;train;-
F7CCP2;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7CDX6;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7CE46;Basolateral;-;-;train;-;-;train;train;train;-;validation;-;-;-;-;-;-;-;train;train;validation;-;-;-;-;validation;train;train;validation;train;validation;train;-;-;-;train;train;train;train;train;validation;train;train;validation;validation;train
F7CFM0;Other;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;train;-;-;-
F7CGY6;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7CHI2;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7CI54;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7CJ65;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7CLB0;Plasma;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;train;train;-;-;-;-;-;-;-;-;-;-;-;train
F7CM26;Other;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7CMW1;Basolateral;-;-;train;-;-;train;train;train;train;-;-;-;-;-;-;validation;train;train;-;-;-;-;train;train;-;train;train;train;train;train;-;-;validation;-;-;validation;-;train;validation;train;train;-;train;train;train
F7CN35;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7CNB5;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7CNI9;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7CQ91;Other;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-
F7CUB6;Basolateral;-;-;-;-;-;-;train;train;-;train;-;-;train;-;-;train;train;train;-;train;-;-;train;-;validation;validation;-;-;train;train;-;validation;train;-;train;train;train;validation;validation;train;-;-;validation;train;validation
F7CUN8;Other;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7CWZ6;Basolateral;-;train;train;-;train;train;-;train;train;validation;-;-;train;-;-;train;-;-;-;-;-;train;-;-;-;-;train;train;train;train;-;-;-;validation;-;train;train;validation;train;train;train;train;train;-;train
F7CXF2;Other;train;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7CY08;Plasma;-;-;-;-;-;-;-;-;validation;validation;-;train;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7CY60;Other;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7CYG3;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-
F7CYL9;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-
F7CZW0;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7CZY9;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7D0A9;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7D3W9;Apical;validation;-;train;-;-;-;-;-;-;train;-;validation;-;-;-;-;-;-;train;-;train;train;-;train;train;-;train;train;-;-;-;-;-;-;-;train;train;-;train;train;-;-;train;-;train
F7D4V9;Plasma;validation;-;-;-;-;-;-;-;-;-;validation;-;train;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-
F7D5F3;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7D808;Other;-;-;train;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7D8W9;Basolateral;-;-;train;-;-;train;train;train;-;validation;-;-;-;-;-;-;-;train;train;validation;-;-;-;-;validation;train;train;validation;train;validation;train;-;-;-;train;train;train;train;train;validation;train;train;validation;validation;train
F7D8Y3;Basolateral;-;train;-;-;-;-;-;train;-;train;train;-;-;-;-;-;-;-;-;-;-;-;-;train;-;train;train;-;validation;validation;validation;-;-;-;train;-;validation;train;-;-;-;train;train;train;train
F7D8Z8;Plasma;-;-;-;-;train;-;-;-;-;-;validation;train;-;-;train;-;-;-;-;-;train;train;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;train;-;-
F7D9S0;Other;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;train;-;-
F7D9Z8;Apical;train;-;train;-;train;-;-;-;-;-;-;-;train;-;train;validation;-;-;-;-;validation;validation;-;train;-;train;-;-;train;-;validation;train;-;-;-;train;train;-;-;-;validation;train;-;validation;train
F7DAC3;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7DB64;Plasma;train;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;train;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-
F7DBC0;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-
F7DEB6;Plasma;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-
F7DH10;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7DHN3;Apical;-;train;validation;train;-;train;-;-;-;-;-;-;-;train;-;-;-;-;-;-;train;-;validation;train;train;-;-;-;-;train;-;-;-;-;-;train;train;train;-;-;train;-;-;-;validation
F7DHQ7;Plasma;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-
F7DHR2;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-
F7DHR9;Basolateral;-;train;-;-;-;train;-;train;train;-;-;-;-;-;-;train;-;-;-;-;-;-;validation;-;-;train;train;train;-;-;-;train;-;validation;train;train;train;train;validation;train;train;train;train;train;train
F7DHX6;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7DIB4;Other;train;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
F7DIE4;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-
